,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-05-19 00:00:00,1960.5,1987.400024,1956.300049,1979.300049,1979.300049,227609,227609,18.80005,0.95894,1974.33,"May 19, 23",0.0095894
1,2023-05-18 00:00:00,1958.38,1983.42,1954.03,1976.74,1956.5,3221,13,18.36,0.93751,1966.34,"May 18, 23",0.0093751
2,2023-05-17 00:00:00,1982.62,1985.76,1951.8,1958.3,1980.699951,3638,13,-24.32,-1.23,1969.55,"May 17, 23",-0.0123
3,2023-05-16 00:00:00,1988.8,1992.87,1975.2,1982.62,1988.400024,3647,49,-6.18,-0.31074,1986.14,"May 16, 23",-0.0031074
4,2023-05-15 00:00:00,2014.35,2018.21,1984.7,1989.5,2018,3607,3,-24.85,-1.23,2004.21,"May 15, 23",-0.0123
5,2023-05-14 00:00:00,2009.53,2021.82,2008.63,2014.35,2014.35,3614,3614,4.82,0.23986,2015.79,"May 14, 23",0.0023986
6,2023-05-13 00:00:00,2010.6,2026.59,2007.21,2009.72,2009.72,262,262,-0.88,-0.04376803,2010.46,"May 13, 23",-0.0004376803
7,2023-05-12 00:00:00,2014.5,2014.5,2014.5,2014.5,2014.5,115,115,0,0,2014.5,"May 12, 23",0
8,2023-05-11 00:00:00,2016.37,2022.06,2000.91,2010.86,2014.699951,3315,90,-5.51,-0.27326,2011.01,"May 11, 23",-0.0027326
9,2023-05-10 00:00:00,2031.21,2039.93,2011.07,2016.24,2030.5,3627,248,-14.97,-0.737,2024.64,"May 10, 23",-0.00737
10,2023-05-09 00:00:00,2036.57,2048.01,2021.61,2031.36,2036.199951,3610,241,-5.21,-0.25582,2031.13,"May 09, 23",-0.0025582
11,2023-05-08 00:00:00,2021,2037.46,2019,2036.27,2026.300049,3634,3,15.27,0.75557,2028.37,"May 08, 23",0.0075557
12,2023-05-05 00:00:00,2046.400024,2046.400024,2004.300049,2017.400024,2017.400024,59,59,-29,-1.42,2022.7,"May 05, 23",-0.0142
13,2023-05-04 00:00:00,2049.79,2052.75,1999.63,2016.58,2048,3307,930,-33.21,-1.62,2031.97,"May 04, 23",-0.0162
14,2023-05-03 00:00:00,2052.78,2059.39,2030.77,2049.8,2028.599976,3591,1349,-2.98,-0.14517,2044.35,"May 03, 23",-0.0014517
15,2023-05-02 00:00:00,2015.1,2071.32,2008.9,2051.93,2014.300049,3577,1896,36.83,1.83,2021.86,"May 02, 23",0.0183
16,2023-05-01 00:00:00,1981.63,2018.94,1978.5,2015.84,1983.400024,3257,210,34.21,1.73,1996.63,"May 01, 23",0.0173
17,2023-04-28 00:00:00,1986.900024,1990.099976,1977.699951,1990.099976,1990.099976,152,152,3.19995,0.16105,1985.97,"April 28, 23",0.0016105
18,2023-04-27 00:00:00,1987.17,1994.59,1977.07,1989.44,1989.900024,3302,355,2.27,0.11423,1986.72,"April 27, 23",0.0011423
19,2023-04-26 00:00:00,1991.52,2003.07,1975.03,1986.97,1985.699951,3610,615,-4.55,-0.22847,1992.32,"April 26, 23",-0.0022847
20,2023-04-25 00:00:00,2000.44,2008.06,1983.51,1991.62,1994,3604,306,-8.82,-0.4409,1995,"April 25, 23",-0.004409
21,2023-04-24 00:00:00,1994.97,2003.6,1975.91,2000.07,1989.099976,3598,145,5.1,0.25564,1992.37,"April 24, 23",0.0025564
22,2023-04-21 00:00:00,1996.199951,1996.199951,1974.099976,1979.5,1979.5,132,132,-16.69995,-0.83659,1983.27,"April 21, 23",-0.0083659
23,2023-04-20 00:00:00,2005.27,2005.38,1972.01,1982.91,2007.599976,3315,164,-22.36,-1.12,1988.9,"April 20, 23",-0.0112
24,2023-04-19 00:00:00,1993.63,2012.1,1990.59,2004.97,1995.199951,3638,61,11.34,0.56881,2000.26,"April 19, 23",0.0056881
25,2023-04-18 00:00:00,2005.74,2007.9,1969.4,1993.6,2007.400024,3612,72,-12.14,-0.60526,1992.47,"April 18, 23",-0.0060526
26,2023-04-17 00:00:00,1993.87,2011.58,1991.37,2005.48,1994.199951,3612,554,11.61,0.58228,2002.39,"April 17, 23",0.0058228
27,2023-04-14 00:00:00,2041,2047.800049,1995,2002.199951,2002.199951,718,718,-38.80005,-1.9,2015,"April 14, 23",-0.019
28,2023-04-13 00:00:00,2039.56,2047.27,1992.31,2004.11,2041.300049,3292,1043,-35.45,-1.74,2026.81,"April 13, 23",-0.0174
29,2023-04-12 00:00:00,2018.1,2047.65,2015.3,2039.89,2010.900024,3596,172,21.79,1.08,2030.04,"April 12, 23",0.0108
30,2023-04-11 00:00:00,2004.87,2027.23,2001.2,2018.09,2004.800049,3624,68,13.22,0.65939,2012.74,"April 11, 23",0.0065939
31,2023-04-10 00:00:00,1992.3,2007.13,1988.4,2004.63,1989.099976,3610,652,12.33,0.61888,2001.07,"April 10, 23",0.0061888
32,2023-04-06 00:00:00,2007.05,2007.24,2007.05,2007.24,2011.900024,2,2,0.19,0.00946663,2007.15,"April 06, 23",0.0000946663
33,2023-04-05 00:00:00,2020.34,2020.87,2000.4,2007.56,2020.900024,3301,525,-12.78,-0.63257,2013.04,"April 05, 23",-0.0063257
34,2023-04-04 00:00:00,2021.48,2031.9,2011.36,2020.23,2022.199951,3609,811,-1.25,-0.06183588,2022.61,"April 04, 23",-0.0006183588
35,2023-04-03 00:00:00,1984.6,2024.8,1977.2,2021.6,1983.900024,3635,737,37,1.86,1996.78,"April 03, 23",0.0186
36,2023-03-31 00:00:00,1981.300049,1986.800049,1968,1969,1969,957,957,-12.30005,-0.62081,1974.6,"March 31, 23",-0.0062081
37,2023-03-30 00:00:00,1978.21,1986.75,1966.89,1969.22,1980.300049,3295,10119,-8.99,-0.45445,1977.73,"March 30, 23",-0.0045445
38,2023-03-29 00:00:00,1963.1,1983.9,1955.6,1978.39,1966.099976,3570,88563,15.29,0.77887,1970.12,"March 29, 23",0.0077887
39,2023-03-28 00:00:00,1972.27,1972.73,1958.79,1963.15,1972.400024,3588,21,-9.12,-0.46241,1965.69,"March 28, 23",-0.0046241
40,2023-03-27 00:00:00,1958.2,1975.09,1948.5,1971.86,1952.400024,3592,877,13.66,0.69758,1962.95,"March 27, 23",0.0069758
41,2023-03-24 00:00:00,1991.699951,1995.400024,1982.099976,1982.099976,1982.099976,19,19,-9.59998,-0.482,1986.53,"March 24, 23",-0.00482
42,2023-03-23 00:00:00,1991.37,2002.82,1974.7,1978.42,1993.800049,3266,33,-12.95,-0.65031,1989.27,"March 23, 23",-0.0065031
43,2023-03-22 00:00:00,1969.94,2003.22,1966.58,1991.23,1946.800049,3587,50,21.29,1.08,1981.93,"March 22, 23",0.0108
44,2023-03-21 00:00:00,1943.12,1977.88,1934.65,1969.57,1938,3589,47,26.45,1.36,1947.74,"March 21, 23",0.0136
45,2023-03-20 00:00:00,1977.26,1984.78,1935.51,1942.81,1979.199951,3578,389,-34.45,-1.74,1961.65,"March 20, 23",-0.0174
46,2023-03-17 00:00:00,1946,1985.099976,1946,1969.800049,1969.800049,82,82,23.80005,1.22,1966.97,"March 17, 23",0.0122
47,2023-03-16 00:00:00,1921.34,1988.78,1918.48,1987.46,1919,3289,394,66.12,3.44,1943.41,"March 16, 23",0.0344
48,2023-03-15 00:00:00,1921.46,1932.68,1907.66,1921.3,1926.599976,3609,564,-0.16,-0.008327,1919.05,"March 15, 23",-0.00008327
49,2023-03-14 00:00:00,1902.45,1937.02,1886.09,1921.03,1906.199951,3571,107,18.58,0.97664,1911.26,"March 14, 23",0.0097664
50,2023-03-13 00:00:00,1911.76,1913.93,1896.25,1903.02,1911.699951,3582,503,-8.74,-0.45717,1905.76,"March 13, 23",-0.0045717
51,2023-03-10 00:00:00,1852.300049,1868.5,1852,1862,1862,248,248,9.69995,0.52367,1860.83,"March 10, 23",0.0052367
52,2023-03-09 00:00:00,1831.48,1869.82,1827.71,1867.05,1829.300049,3437,332,35.57,1.94,1843.3,"March 09, 23",0.0194
53,2023-03-08 00:00:00,1815.07,1835.09,1811.9,1831.37,1812.699951,3619,75,16.3,0.89804,1821.37,"March 08, 23",0.0089804
54,2023-03-07 00:00:00,1813.78,1823.95,1809.2,1815.12,1813.900024,3623,450,1.34,0.07387886,1814.23,"March 07, 23",0.0007387886
55,2023-03-06 00:00:00,1845.36,1851.36,1812.5,1813.82,1847.900024,3606,5,-31.54,-1.71,1834.82,"March 06, 23",-0.0171
56,2023-03-03 00:00:00,1837.300049,1855.400024,1837.300049,1847.699951,1847.699951,61,61,10.3999,0.56604,1846.8,"March 03, 23",0.0056604
57,2023-03-02 00:00:00,1838.44,1856.3,1837.1,1855.18,1833.5,3463,154,16.74,0.91055,1844.83,"March 02, 23",0.0091055
58,2023-03-01 00:00:00,1836.5,1838.66,1830.02,1837.66,1837.699951,3609,211,1.16,0.06316363,1834.33,"March 01, 23",0.0006316363
59,2023-02-28 00:00:00,1825.07,1844.03,1823.01,1836.51,1828.900024,3593,618,11.44,0.62683,1834.44,"February 28, 23",0.0062683
60,2023-02-27 00:00:00,1817.13,1830.86,1805.73,1825.49,1817,3603,829,8.36,0.46007,1818.13,"February 27, 23",0.0046007
61,2023-02-24 00:00:00,1808.800049,1808.800049,1808.800049,1808.800049,1808.800049,404,404,0,0,1808.8,"February 24, 23",0
62,2023-02-23 00:00:00,1823.16,1827.65,1809,1810.67,1818,3450,291,-12.49,-0.68507,1818.75,"February 23, 23",-0.0068507
63,2023-02-22 00:00:00,1825.01,1833.41,1817.8,1823.24,1832,3615,278,-1.77,-0.09698577,1825.44,"February 22, 23",-0.0009698577
64,2023-02-21 00:00:00,1835.59,1845.59,1823.47,1825.02,1833,3624,862,-10.57,-0.57584,1834.11,"February 21, 23",-0.0057584
65,2023-02-20 00:00:00,1840.82,1843.66,1829.6,1835.5,1835.5,3624,3624,-5.32,-0.289,1836.39,"February 20, 23",-0.00289
66,2023-02-17 00:00:00,1827.400024,1842.199951,1818.400024,1840.400024,1840.400024,35,35,13,0.71139,1833.67,"February 17, 23",0.0071139
67,2023-02-16 00:00:00,1833.04,1843.46,1819,1842.34,1842,3460,222,9.3,0.50735,1830.87,"February 16, 23",0.0050735
68,2023-02-15 00:00:00,1836.51,1845.12,1827.82,1834.22,1834.199951,3609,368,-2.29,-0.12469,1838.15,"February 15, 23",-0.0012469
69,2023-02-14 00:00:00,1854.94,1859.98,1830.72,1836.51,1854,3574,656,-18.43,-0.99356,1840.22,"February 14, 23",-0.0099356
70,2023-02-13 00:00:00,1854.15,1869.19,1843.57,1854.94,1851.900024,3592,569,0.79,0.04260712,1856.72,"February 13, 23",0.0004260712
71,2023-02-10 00:00:00,1861.599976,1863.5,1852.400024,1862.800049,1862.800049,27,27,1.20007,0.0644646,1859.57,"February 10, 23",0.000644646
72,2023-02-09 00:00:00,1861.96,1871.68,1852.76,1865.28,1866.199951,3434,223,3.32,0.17831,1862,"February 09, 23",0.0017831
73,2023-02-08 00:00:00,1875.42,1889.77,1858.6,1862.23,1877.400024,3611,230,-13.19,-0.70331,1875.69,"February 08, 23",-0.0070331
74,2023-02-07 00:00:00,1872.64,1885.88,1869.11,1874.97,1871.699951,3614,297,2.33,0.12442,1877.41,"February 07, 23",0.0012442
75,2023-02-06 00:00:00,1868.34,1883.76,1865.06,1872.94,1866.199951,3608,424,4.6,0.24621,1872.39,"February 06, 23",0.0024621
76,2023-02-03 00:00:00,1912.400024,1917,1861.5,1862.900024,1862.900024,992,992,-49.5,-2.59,1880.47,"February 03, 23",-0.0259
77,2023-02-02 00:00:00,1915.18,1918.43,1861.5,1865.39,1916.300049,3440,748,-49.79,-2.6,1897.65,"February 02, 23",-0.026
78,2023-02-01 00:00:00,1952.5,1959.59,1910.7,1914.79,1927.800049,3572,2290,-37.71,-1.93,1940.05,"February 01, 23",-0.0193
79,2023-01-31 00:00:00,1928.03,1955.95,1920.84,1953.03,1929.5,2715,1910,25,1.3,1931.14,"January 31, 23",0.013
80,2023-01-30 00:00:00,1921.59,1930.88,1900.77,1927.31,1922.900024,3609,27220,5.72,0.29767,1919.51,"January 30, 23",0.0029767
81,2023-01-27 00:00:00,1928.599976,1928.599976,1928.599976,1928.599976,1928.599976,150902,150902,0,0,1928.6,"January 27, 23",0
82,2023-01-26 00:00:00,1927.44,1934.82,1917.6,1927.72,1929.099976,2965,131,0.28,0.01452704,1927.25,"January 26, 23",0.0001452704
83,2023-01-25 00:00:00,1947.56,1948.84,1919.19,1930.33,1941.199951,3487,7,-17.23,-0.8847,1936.95,"January 25, 23",-0.008847
84,2023-01-24 00:00:00,1925.9,1948.72,1920.06,1948.31,1933.900024,1568,201,22.41,1.16,1937.83,"January 24, 23",0.0116
85,2023-01-23 00:00:00,1935.7,1939.18,1917.66,1937.01,1927.099976,1829,218,1.31,0.06767578,1934.64,"January 23, 23",0.0006767578
86,2023-01-20 00:00:00,1922.099976,1928.5,1921.400024,1926.400024,1926.400024,1346,1346,4.30005,0.22372,1925.43,"January 20, 23",0.0022372
87,2023-01-19 00:00:00,1929.68,1937.15,1920.6,1925.78,1922.099976,2973,371,-3.9,-0.20211,1927.76,"January 19, 23",-0.0020211
88,2023-01-18 00:00:00,1906.93,1934.97,1901.02,1931.96,1904.400024,3583,1027,25.03,1.31,1914.98,"January 18, 23",0.0131
89,2023-01-17 00:00:00,1908.76,1925.67,1896.1,1906.86,1907.199951,3547,706,-1.9,-0.09954106,1908.39,"January 17, 23",-0.0009954106
90,2023-01-16 00:00:00,1915.3,1916.51,1903.85,1908.69,1912.400024,3243,512,-6.61,-0.34512,1909.48,"January 16, 23",-0.0034512
91,2023-01-13 00:00:00,1899,1920.900024,1898.300049,1918.400024,1918.400024,512,512,19.40002,1.02,1912.53,"January 13, 23",0.0102
92,2023-01-12 00:00:00,1897.89,1921.81,1892.3,1920.12,1895.5,3429,59,22.23,1.17,1905.1,"January 12, 23",0.0117
93,2023-01-11 00:00:00,1876.87,1901.41,1875.82,1897.99,1874.599976,3601,1236,21.12,1.13,1887.63,"January 11, 23",0.0113
94,2023-01-10 00:00:00,1877.17,1886.46,1867.34,1876.9,1871.599976,3598,101,-0.27,-0.01438335,1878.03,"January 10, 23",-0.0001438335
95,2023-01-09 00:00:00,1870.16,1880.45,1867.82,1877.18,1872.699951,3597,62,7.02,0.37537,1874.28,"January 09, 23",0.0037537
96,2023-01-06 00:00:00,1838.400024,1868.199951,1835.300049,1864.199951,1864.199951,26,26,25.79993,1.4,1855.9,"January 06, 23",0.014
97,2023-01-05 00:00:00,1832.57,1869.65,1831.3,1865.9,1834.800049,3442,24,33.33,1.82,1846.31,"January 05, 23",0.0182
98,2023-01-04 00:00:00,1854.83,1858.83,1825.26,1832.66,1852.800049,3455,25,-22.17,-1.2,1843.59,"January 04, 23",-0.012
99,2023-01-03 00:00:00,1836.37,1864.84,1836.21,1854.83,1839.699951,3585,29,18.46,1.01,1852.54,"January 03, 23",0.0101
100,2023-01-02 00:00:00,1829.19,1849.88,1825.86,1836.47,1836.47,3637,3637,7.28,0.39799,1837.18,"January 02, 23",0.0039799
101,2022-12-30 00:00:00,1817,1822.300049,1816.800049,1819.699951,1819.699951,95,95,2.69995,0.14859,1819.6,"December 30, 22",0.0014859
102,2022-12-29 00:00:00,1814.98,1825.69,1812.81,1823.38,1819.5,3639,277,8.4,0.46282,1818.34,"December 29, 22",0.0046282
103,2022-12-28 00:00:00,1804.97,1819.95,1803.37,1814.01,1807.900024,3657,434,9.04,0.50084,1810.49,"December 28, 22",0.0050084
104,2022-12-27 00:00:00,1812.27,1814.23,1796.74,1805.69,1814.800049,3647,69,-6.58,-0.36308,1806.26,"December 27, 22",-0.0036308
